요양기관명,종별코드명,시군구코드명,읍면동,주소,전화번호,개설일자,총의사수,의과전문의 인원수,한방전문의 인원수,치과전문의 인원수,좌표(X),좌표(Y),구분
남내과의원,의원,영주시,영주동,"경상북도 영주시 구성로 373, (영주동)",054-632-9009,1987-02-23,1.0,1.0,0.0,0.0,128.6211701,36.8245503,병원
다미안의원,의원,영주시,상망동,"경상북도 영주시 봉화로 2, (상망동)",054-633-6762,1976-07-03,1.0,1.0,0.0,0.0,128.6519075,36.8386082,병원
다인산부인과의원,의원,영주시,영주동,"경상북도 영주시 영주로 205-1, 다인산부인과 3층 (영주동)",054-637-6104,1998-03-05,1.0,1.0,0.0,0.0,128.6223361,36.8262125,병원
대동한의원,한의원,영주시,영주동,"경상북도 영주시 광복로 73, (영주동)",054-631-2537,1991-03-25,1.0,0.0,0.0,0.0,128.6264843,36.8279076,병원
대영연합의원,의원,영주시,휴천동,"경상북도 영주시 꽃동산로 30, (휴천동)",054-635-5961,1995-04-28,2.0,2.0,0.0,0.0,128.6213133,36.812884,병원
도건호마취과의원,의원,영주시,하망동,"경상북도 영주시 중앙로 105, 2층 (하망동)",054-638-5026,1999-06-02,1.0,1.0,0.0,0.0,128.6254344,36.824665,병원
도원한의원,한의원,영주시,영주동,"경상북도 영주시 중앙로 81, 2층 (영주동)",054-633-1557,2015-12-23,1.0,0.0,0.0,0.0,128.6244465,36.8226426,병원
도제한의원,한의원,영주시,영주동,"경상북도 영주시 영주로 198-1, 도제한의원 (영주동)",054-633-0431,1997-05-01,1.0,0.0,0.0,0.0,128.6215163,36.8259224,병원
동산정형외과의원,의원,영주시,영주동,"경상북도 영주시 중앙로 125, (영주동)",054-636-0055,2006-06-01,1.0,1.0,0.0,0.0,128.6257021,36.8264639,병원
라온365한의원 영주점,한의원,영주시,가흥동,"경상북도 영주시 대학로298번길 17, 2층 (가흥동)",054-701-2088,2025-04-15,2.0,0.0,1.0,0.0,128.6071438,36.8223872,병원
라온치과의원,치과의원,영주시,가흥동,"경상북도 영주시 대학로298번길 17, 3,4층 (가흥동)",054-726-0000,2025-02-25,2.0,0.0,0.0,0.0,128.6071438,36.8223872,병원
램브란트치과의원,치과의원,영주시,하망동,"경상북도 영주시 구성로 332-1, (하망동, 동아빌딩)",054-637-2879,2005-10-31,1.0,0.0,0.0,0.0,128.6248665,36.8220682,병원
리더스치과의원,치과의원,영주시,영주동,"경상북도 영주시 구성로 333, 2층 (영주동)",054-633-4200,2017-10-11,2.0,0.0,0.0,2.0,128.6243589,36.8219064,병원
마음편한정신건강의학과의원,의원,영주시,하망동,"경상북도 영주시 광복로 74, 3층 (하망동)",054-635-1112,2016-06-24,1.0,1.0,0.0,0.0,128.6264822,36.8275706,병원
맑은 이비인후과 의원,의원,영주시,하망동,"경상북도 영주시 중앙로 122-1, 건우빌딩 1층 (하망동)",054-631-3457,2021-11-12,1.0,1.0,0.0,0.0,128.6260631,36.8260153,병원
몸편한재활의학과의원,의원,영주시,영주동,"경상북도 영주시 중앙로 87, 2층 (영주동)",054-631-1190,2016-12-26,1.0,1.0,0.0,0.0,128.6247089,36.8231214,병원
바른치과의원,치과의원,영주시,하망동,"경상북도 영주시 중앙로 119-119, 5,6층 (하망동)",054-636-5660,1996-11-26,2.0,0.0,0.0,0.0,128.6255975,36.8259038,병원
박상현내과의원,의원,영주시,하망동,"경상북도 영주시 중앙로 122, (하망동, 제2경북약국)",054-636-4629,2016-04-15,1.0,1.0,0.0,0.0,128.6260424,36.8258995,병원
백세한의원,한의원,영주시,영주동,"경상북도 영주시 중앙로 65, 백세한의원 (영주동)",054-633-8875,2025-02-20,1.0,0.0,0.0,0.0,128.6233188,36.8217997,병원
백현우외과의원,의원,영주시,영주동,"경상북도 영주시 중앙로 135-1, 1층 (영주동)",054-633-7582,1999-10-25,1.0,1.0,0.0,0.0,128.6259363,36.8273414,병원
변상철치과의원,치과의원,영주시,휴천동,"경상북도 영주시 선비로 65-65, (휴천동)",054-638-2875,1992-10-09,1.0,0.0,0.0,0.0,128.6238235,36.8107543,병원
본한의원,한의원,영주시,하망동,"경상북도 영주시 중앙로 122, (하망동)",054-631-7975,2008-10-07,1.0,0.0,0.0,0.0,128.6260424,36.8258995,병원
부석한의원,한의원,영주시,부석면,"경상북도 영주시 부석면 소천로 39, (부석면)",054-638-1075,2013-03-21,1.0,0.0,0.0,0.0,128.6558149,36.9790321,병원
삼성안과의원,의원,영주시,하망동,"경상북도 영주시 중앙로 119, 3층 301호 (하망동, 중앙빌딩)",054-637-7582,2008-10-21,1.0,1.0,0.0,0.0,128.6255975,36.8259038,병원
삼성통증의학과의원,의원,영주시,하망동,"경상북도 영주시 중앙로 113, (하망동)",054-637-7579,2006-07-28,1.0,1.0,0.0,0.0,128.6254841,36.8251637,병원
삼성한의원,한의원,영주시,영주동,"경상북도 영주시 중앙로 129, (영주동, 의성종합철물 2층)",054-633-2665,2002-04-27,1.0,0.0,0.0,0.0,128.625798,36.8266732,병원
서울마디의원,의원,영주시,영주동,"경상북도 영주시 영주로 202-1, (영주동)",054-634-1234,2020-04-28,1.0,1.0,0.0,0.0,128.6219351,36.8258409,병원
서울미소치과의원,치과의원,영주시,휴천동,"경상북도 영주시 대학로 30, (휴천동)",054-635-2110,2013-04-24,1.0,0.0,0.0,0.0,128.6210752,36.8097156,병원
서울이비인후과의원,의원,영주시,영주동,"경상북도 영주시 구성로350번길 2, (영주동)",054-638-5005,2007-12-05,1.0,1.0,0.0,0.0,128.6235222,36.8231339,병원
서울치과의원,치과의원,영주시,하망동,"경상북도 영주시 중앙로 113, (하망동)",054-631-5277,1990-04-19,1.0,0.0,0.0,0.0,128.6254866,36.8251832,병원
서울한의원,한의원,영주시,풍기읍,"경상북도 영주시 풍기읍 동성로 76, 76",054-636-2254,1965-04-24,1.0,0.0,0.0,0.0,128.5279597,36.8709102,병원
선제한의원,한의원,영주시,하망동,"경상북도 영주시 영주로231번길 12, 1층 (하망동)",054-637-5757,2002-04-19,1.0,0.0,0.0,0.0,128.6254328,36.8261971,병원
성심한의원,한의원,영주시,풍기읍,"경상북도 영주시 풍기읍 기주로 83-1, (풍기읍)",054-635-9386,1996-01-18,1.0,0.0,0.0,0.0,128.5263985,36.8696812,병원
세움한의원,한의원,영주시,영주동,"경상북도 영주시 구성로 369, 2층 (영주동)",054-633-3354,2023-09-15,1.0,0.0,0.0,0.0,128.6215751,36.8242278,병원
소백한의원,한의원,영주시,휴천동,"경상북도 영주시 구성로 306, (휴천동)",054-636-0547,1998-09-23,1.0,0.0,0.0,0.0,128.6267302,36.8203742,병원
손현석내과의원,의원,영주시,영주동,"경상북도 영주시 구성로 354, (영주동)",054-632-4008,1997-02-13,1.0,1.0,0.0,0.0,128.6230695,36.8234998,병원
수치과의원,치과의원,영주시,가흥동,"경상북도 영주시 대학로 222, 5층 (가흥동)",054-636-2080,2023-08-23,1.0,0.0,0.0,0.0,128.6053165,36.8153527,병원
수한의원,한의원,영주시,하망동,"경상북도 영주시 원당로 211, 수한의원 1,2층 (하망동)",054-631-1275,2018-11-02,1.0,0.0,0.0,0.0,128.6336396,36.8287574,병원
신비뇨기과의원,의원,영주시,영주동,"경상북도 영주시 구성로 338, (영주동)",054-633-9151,1991-01-30,1.0,1.0,0.0,0.0,128.624331,36.8224719,병원
신영주내과의원,의원,영주시,휴천동,"경상북도 영주시 꽃동산로 28, 1,2층 (휴천동)",054-633-8256,2006-03-05,1.0,1.0,0.0,0.0,128.6214411,36.8128332,병원
신영주한의원,한의원,영주시,휴천동,"경상북도 영주시 지천로 78, (휴천동)",054-635-5275,2012-06-11,1.0,0.0,0.0,0.0,128.6196582,36.8072605,병원
신한의원,한의원,영주시,하망동,"경상북도 영주시 영주로 246, (하망동)",054-638-6422,2004-06-14,1.0,0.0,0.0,0.0,128.6267123,36.8253333,병원
아름다운피부과의원,의원,영주시,영주동,"경상북도 영주시 구성로 350, 2층 (영주동)",054-635-0555,2006-04-17,2.0,1.0,0.0,0.0,128.6232903,36.8233624,병원
에이스마취통증의학과의원,의원,영주시,하망동,"경상북도 영주시 중앙로 106, 1층 (하망동)",054-634-7582,2025-02-18,1.0,1.0,0.0,0.0,128.625887,36.8244744,병원
연세가족치과의원,치과의원,영주시,하망동,"경상북도 영주시 번영로 147, 1층 (하망동)",054-708-7500,2023-05-30,2.0,0.0,0.0,2.0,128.6253403,36.824318,병원
연세소망치과의원,치과의원,영주시,하망동,"경상북도 영주시 영주로 227, (하망동)",054-633-7333,1996-06-19,3.0,0.0,0.0,2.0,128.6249204,36.8258837,병원
연세송치과의원,치과의원,영주시,영주동,"경상북도 영주시 구성로 345-1, 2층 (영주동)",054-633-0100,2019-06-11,1.0,0.0,0.0,0.0,128.6233906,36.8227584,병원
연세행복치과의원,치과의원,영주시,가흥동,"경상북도 영주시 대동로 19, (가흥동)",054-636-2275,2015-10-08,1.0,0.0,0.0,0.0,128.6045991,36.8152318,병원
연세화이트치과의원,치과의원,영주시,휴천동,"경상북도 영주시 대학로 35, 자유빌딩 2층 (휴천동)",054-638-8270,2014-12-26,1.0,0.0,0.0,0.0,128.6205016,36.8089995,병원
연합치과의원,치과의원,영주시,하망동,"경상북도 영주시 영주로 243, 3층 (하망동)",054-632-0773,2000-08-01,1.0,0.0,0.0,0.0,128.6265339,36.825892,병원
영주기독병원,병원,영주시,영주동,"경상북도 영주시 구성로 380,  (영주동)",054-635-6161,1980-05-13,6.0,6.0,0.0,0.0,128.6211144,36.8251759,병원
영주늘좋은내과의원,의원,영주시,하망동,"경상북도 영주시 영주로 243, 연합치과 2층 (하망동)",054-633-9110,2019-08-08,1.0,1.0,0.0,0.0,128.6265339,36.825892,병원
영주미플란트치과의원,치과의원,영주시,하망동,"경상북도 영주시 광복로 74, 2층 (하망동)",054-632-2275,2023-07-06,1.0,0.0,0.0,1.0,128.6264822,36.8275706,병원
영주밝은안과의원,의원,영주시,영주동,"경상북도 영주시 중앙로 95, (영주동)",054-634-9700,2010-03-02,1.0,1.0,0.0,0.0,128.6251245,36.8239249,병원
영주부부한의원,한의원,영주시,하망동,"경상북도 영주시 영주로 273, (하망동)",054-638-1275,2009-08-04,2.0,0.0,1.0,0.0,128.6296959,36.825247,병원
영주삼봉병원,정신병원,영주시,가흥동,"경상북도 영주시 꽃동산로 43, (가흥동)",054-634-7600,2012-01-25,2.0,2.0,0.0,0.0,128.6197875,36.8132917,병원
영주성모안과의원,의원,영주시,하망동,"경상북도 영주시 중앙로 120, (하망동)",054-631-3929,1999-03-11,2.0,2.0,0.0,0.0,128.626005,36.825807,병원
영주스마트치과의원,치과의원,영주시,휴천동,"경상북도 영주시 구성로 254, (휴천동)",054-632-3927,2017-04-03,1.0,0.0,0.0,0.0,128.6278271,36.8158066,병원
영주시단산면구구보건진료소,보건진료소,영주시,단산면,"경상북도 영주시 단산면 구구로 22-17, (단산면)",054-637-0903,1987-12-01,0.0,0.0,0.0,0.0,128.6031814,36.9001485,병원
영주시단산면보건지소,보건지소,영주시,단산면,"경상북도 영주시 단산면 옥대로 32, (단산면보건지소)",054-633-5109,1971-07-25,1.0,0.0,0.0,0.0,128.6187305,36.9510023,병원
영주시립노인전문요양병원,요양병원,영주시,안정면,"경상북도 영주시 안정면 장안로 697, (안정면)",054-631-1500,2009-03-03,7.0,4.0,0.0,0.0,128.5649173,36.8301599,병원
영주시문수면보건지소,보건지소,영주시,문수면,"경상북도 영주시 문수면 문수로1363번길 35, (문수면보건지소)",054-637-2102,1971-07-25,1.0,0.0,0.0,0.0,128.6305403,36.7720876,병원
영주시문수면조제보건진료소,보건진료소,영주시,문수면,"경상북도 영주시 문수면 조제로 59, 59",054-638-7354,1987-12-01,0.0,0.0,0.0,0.0,128.6011058,36.7185582,병원
영주시보건소,보건소,영주시,휴천동,"경상북도 영주시 시청로1번길 19, (휴천동)",054-631-4000,1995-01-01,3.0,1.0,0.0,0.0,128.6216446,36.8061781,병원
영주시봉현면노좌보건진료소,보건진료소,영주시,봉현면,"경상북도 영주시 봉현면 소백로 941, (봉현면)",054-637-6815,1987-12-01,0.0,0.0,0.0,0.0,128.5008892,36.7914934,병원
영주시봉현면보건지소,보건지소,영주시,봉현면,"경상북도 영주시 봉현면 오현로 27, (봉현면보건지소)",054-636-6502,2005-04-04,1.0,0.0,0.0,0.0,128.525013,36.861424,병원
영주시부석면보건지소,보건지소,영주시,부석면,"경상북도 영주시 부석면 부석로 49, (부석면보건지소)",054-633-3242,1971-07-25,2.0,0.0,0.0,0.0,128.6541669,36.9788861,병원
영주시부석면상석보건진료소,보건진료소,영주시,부석면,"경상북도 영주시 부석면 의상로 1322, 1322",054-633-3973,1987-12-01,0.0,0.0,0.0,0.0,128.6496461,36.9393381,병원
영주시부석면임곡보건진료소,보건진료소,영주시,부석면,"경상북도 영주시 부석면 영부로106번길 9, (임곡보건진료소)",054-633-3972,1987-12-01,0.0,0.0,0.0,0.0,128.6628729,37.0016894,병원
영주시순흥면배점보건진료소,보건진료소,영주시,순흥면,"경상북도 영주시 순흥면 죽계로293번길 37, (배점리보건진료소)",054-633-2616,1987-12-01,0.0,0.0,0.0,0.0,128.5545285,36.9305776,병원
영주시순흥면보건지소,보건지소,영주시,순흥면,"경상북도 영주시 순흥면 순흥로 67, (순흥면보건지소)",054-633-2044,1971-07-25,1.0,0.0,0.0,0.0,128.5749063,36.9157914,병원
영주시안정면보건지소,보건지소,영주시,안정면,"경상북도 영주시 안정면 신재로 537, (안정면)",054-634-2909,1971-07-25,2.0,0.0,0.0,0.0,128.5566698,36.8459286,병원
영주시안정면오계보건진료소,보건진료소,영주시,안정면,"경상북도 영주시 안정면 안정로 342, (오계보건진료소)",054-637-2097,1987-12-01,0.0,0.0,0.0,0.0,128.5794008,36.8687644,병원
영주시안정면용산보건진료소,보건진료소,영주시,안정면,"경상북도 영주시 안정면 용주로 925, (안정면)",054-632-7351,1987-12-01,0.0,0.0,0.0,0.0,128.5451546,36.8140554,병원
영주시운곡보건진료소,보건진료소,영주시,평은면,"경상북도 영주시 평은면 북평로 1099, (평은면)",054-637-7043,1987-12-01,0.0,0.0,0.0,0.0,128.7118929,36.7020974,병원
영주시이산면보건지소,보건지소,영주시,이산면,"경상북도 영주시 이산면 이산로621번길 31, (이산면)",054-637-2387,1971-07-25,1.0,0.0,0.0,0.0,128.6967539,36.8356302,병원
영주시이산면월림보건진료소,보건진료소,영주시,이산면,"경상북도 영주시 이산면 영봉로 765, 765",054-637-1830,1987-12-01,0.0,0.0,0.0,0.0,128.6924673,36.8002171,병원
영주시장수면두전보건진료소,보건진료소,영주시,장수면,"경상북도 영주시 장수면 장안로 440-6, (장수면)",054-637-8696,1987-12-01,0.0,0.0,0.0,0.0,128.5742828,36.8120468,병원
영주시장수면보건지소,보건지소,영주시,장수면,"경상북도 영주시 장수면 장수로 50, (장수면)",054-637-7042,1971-07-25,1.0,0.0,0.0,0.0,128.578688,36.774708,병원
영주시장수면성곡보건진료소,보건진료소,영주시,장수면,"경상북도 영주시 장수면 용주로 483, (성곡보건지소)",054-637-7685,1987-12-01,0.0,0.0,0.0,0.0,128.5317404,36.7815861,병원
영주시장수면소룡리보건진료소,보건진료소,영주시,장수면,"경상북도 영주시 장수면 옥계로 510, 510",054-637-3223,1987-12-01,0.0,0.0,0.0,0.0,128.5749014,36.7373334,병원
영주시평은면보건지소,보건지소,영주시,평은면,"경상북도 영주시 평은면 신평로 29, 평은면보건지소",054-637-4067,1971-07-25,1.0,0.0,0.0,0.0,128.688515,36.7584366,병원
영주시풍기읍보건지소,보건지소,영주시,풍기읍,"경상북도 영주시 풍기읍 남원로 66, (영주시풍기읍보건지소)",054-636-6503,1995-01-01,1.0,0.0,0.0,0.0,128.5271662,36.8669159,병원
영주신통의원,의원,영주시,하망동,"경상북도 영주시 중앙로 128, (하망동)",054-633-4110,2005-12-29,1.0,1.0,0.0,0.0,128.6261444,36.8264817,병원
영주연합속내과의원,의원,영주시,하망동,"경상북도 영주시 중앙로 122-1, 2.3층 (하망동)",054-708-7775,2023-06-08,2.0,2.0,0.0,0.0,128.6260631,36.8260153,병원
영주예치과의원,치과의원,영주시,영주동,"경상북도 영주시 중앙로 59, 3층 (영주동)",054-636-2345,2026-02-27,1.0,0.0,0.0,0.0,128.6225744,36.8215123,병원
영주자인병원,병원,영주시,가흥동,"경상북도 영주시 대동로31번길 9,  (가흥동)",054-633-1132,2013-02-14,9.0,8.0,0.0,0.0,128.6056003,36.8159307,병원
영주적십자병원,종합병원,영주시,가흥동,"경상북도 영주시 대학로 327-0, 영주적십자병원",054-630-0100,2018-05-02,19.0,18.0,0.0,0.0,128.6039024,36.8252688,병원
영주중앙의원,의원,영주시,조암동,"경상북도 영주시 구성로142번길 10, (조암동)",054-634-5677,2000-01-19,1.0,1.0,0.0,0.0,128.6296021,36.8057986,병원
영주진단방사선과의원,의원,영주시,가흥동,"경상북도 영주시 지천로 172, (가흥동)",054-634-7655,2000-06-12,4.0,3.0,0.0,0.0,128.6196978,36.8153543,병원
영주치과의원,치과의원,영주시,하망동,"경상북도 영주시 중앙로 117, (하망동)",054-633-2865,1995-04-28,2.0,0.0,0.0,0.0,128.6255839,36.8257571,병원
영풍제일의원,의원,영주시,풍기읍,"경상북도 영주시 풍기읍 기주로 100-13, (풍기읍)",054-636-8392,1993-07-14,1.0,0.0,0.0,0.0,128.5251875,36.8709994,병원
외갓집한의원,한의원,영주시,영주동,"경상북도 영주시 중앙로95번길 5, 1층 (영주동)",054-631-7772,2018-12-27,7.0,0.0,0.0,0.0,128.6248609,36.8237858,병원
우리치과의원,치과의원,영주시,영주동,"경상북도 영주시 중앙로 73-1, 2층 (영주동)",054-631-2080,2013-09-25,1.0,0.0,0.0,0.0,128.6240447,36.8221812,병원
우리한의원,한의원,영주시,영주동,"경상북도 영주시 중앙로 46, (영주동)",054-633-1815,1979-05-09,1.0,0.0,0.0,0.0,128.6216051,36.8206037,병원
우성한의원,한의원,영주시,영주동,"경상북도 영주시 중앙로 68, 1층 (영주동)",054-636-1717,2017-03-03,1.0,0.0,0.0,0.0,128.6238095,36.8216292,병원
유생한의원,한의원,영주시,영주동,"경상북도 영주시 중앙로 72, (영주동)",054-632-9383,1988-03-15,1.0,0.0,0.0,0.0,128.6241461,36.8218535,병원
은광의원,의원,영주시,부석면,"경상북도 영주시 부석면 부석로 39, (부석면)",054-631-0211,1997-06-10,1.0,0.0,0.0,0.0,128.6534645,36.9781306,병원
의료법인 영주의료재단 더명품재활병원,병원,영주시,가흥동,"경상북도 영주시 반지미로 265-0, 명품회복병원지하1층B동,1층B동,4층",054-639-1814,2023-04-19,3.0,3.0,0.0,0.0,128.5975876,36.8248161,병원
의료법인 영주의료재단 명품요양병원,요양병원,영주시,가흥동,"경상북도 영주시 반지미로 265,  (가흥동)",054-639-1881,2013-05-23,7.0,4.0,0.0,0.0,128.5975876,36.8248161,병원
의료법인 영풍의료재단 풍기성심요양병원,요양병원,영주시,풍기읍,"경상북도 영주시 풍기읍 소백로1916번길 6, 6",054-630-2511,2008-03-19,0.0,0.0,0.0,0.0,128.5361724,36.8674952,병원
의료법인기호의료재단 청하요양병원,요양병원,영주시,가흥동,"경상북도 영주시 신재로24번길 91,  (가흥동)",054-630-9900,2012-06-14,7.0,5.0,0.0,0.0,128.6090253,36.8351263,병원
의료법인일맥의료재단 영주인애가한방병원,한방병원,영주시,가흥동,"경상북도 영주시 지천로 164,  (가흥동)",054-634-3007,1998-01-09,3.0,0.0,2.0,0.0,128.6193753,36.8148347,병원
의료법인청봉의료재단성누가병원,병원,영주시,영주동,"경상북도 영주시 구성로 329,  (영주동)",054-639-9000,1979-02-23,0.0,0.0,0.0,0.0,128.6246344,36.8215974,병원
의료법인태훈의료재단새희망병원,정신병원,영주시,가흥동,"경상북도 영주시 반지미로 275-17, 새희망병원",054-639-8800,2006-04-17,5.0,4.0,1.0,0.0,128.59565,36.8247,병원
이강욱내과의원,의원,영주시,영주동,"경상북도 영주시 구성로 355, (영주동)",054-631-0017,1994-02-18,1.0,1.0,0.0,0.0,128.6226512,36.8233713,병원
이기훈정형외과의원,의원,영주시,영주동,"경상북도 영주시 구성로 344, (영주동)",054-637-5251,1996-05-31,1.0,1.0,0.0,0.0,128.6239873,36.8227147,병원
이정일산부인과의원,의원,영주시,영주동,"경상북도 영주시 구성로 403, (영주동)",054-631-2510,1984-02-27,1.0,1.0,0.0,0.0,128.6188809,36.8264049,병원
이찬응산부인과의원,의원,영주시,하망동,"경상북도 영주시 광복로 90, (하망동)",054-631-2011,1997-12-05,1.0,1.0,0.0,0.0,128.6282861,36.8275417,병원
인애가의원,의원,영주시,가흥동,"경상북도 영주시 지천로 166, (가흥동)",054-634-3007,2000-01-15,1.0,1.0,0.0,0.0,128.6194396,36.8149564,병원
자연한의원,한의원,영주시,하망동,"경상북도 영주시 영주로 230, 1층 (하망동)",054-633-1116,2001-10-16,1.0,0.0,0.0,0.0,128.6249666,36.825567,병원
제일신경외과의원,의원,영주시,하망동,"경상북도 영주시 영주로 234, (하망동)",054-634-5656,2002-02-19,1.0,1.0,0.0,0.0,128.6253536,36.8254877,병원
지성안과의원,의원,영주시,영주동,"경상북도 영주시 중앙로 93, (영주동)",054-632-7083,1997-03-06,1.0,1.0,0.0,0.0,128.6249798,36.8236281,병원
최내과의원,의원,영주시,하망동,"경상북도 영주시 중앙로126번길 8, (하망동)",054-635-5105,1997-02-13,1.0,1.0,0.0,0.0,128.626286,36.8261364,병원
최치과의원,치과의원,영주시,풍기읍,"경상북도 영주시 풍기읍 풍기로 66, (풍기읍)",054-635-5156,1995-06-30,1.0,0.0,0.0,0.0,128.5260236,36.8705989,병원
태형한의원,한의원,영주시,하망동,"경상북도 영주시 중앙로134번길 10, 1층 (하망동)",054-633-2626,2016-05-19,1.0,0.0,0.0,0.0,128.6267713,36.8268574,병원
파란의원,의원,영주시,영주동,"경상북도 영주시 구성로 342, 파란이비인후과 2층 (영주동)",054-635-8002,2005-03-10,1.0,0.0,0.0,0.0,128.6241642,36.8226552,병원
풍기이정한의원,한의원,영주시,풍기읍,"경상북도 영주시 풍기읍 기주로 88, (풍기읍)",054-634-7552,2005-09-27,1.0,0.0,0.0,0.0,128.5262956,36.8700447,병원
풍기치과의원,치과의원,영주시,풍기읍,"경상북도 영주시 풍기읍 동성로 80, 80",054-634-6345,1999-06-07,1.0,0.0,0.0,0.0,128.5275812,36.8710404,병원
풍기한의원,한의원,영주시,풍기읍,"경상북도 영주시 풍기읍 기주로 66, 풍기한의원",054-636-0077,2019-02-01,1.0,0.0,0.0,0.0,128.5285711,36.8692968,병원
풍성한치과의원,치과의원,영주시,휴천동,"경상북도 영주시 지천로 91, (휴천동)",054-636-7528,2011-08-30,1.0,0.0,0.0,0.0,128.6191456,36.8083247,병원
하나삼성의원,의원,영주시,풍기읍,"경상북도 영주시 풍기읍 동양대로 3, (풍기읍)",054-638-8275,2004-09-13,1.0,0.0,0.0,0.0,128.5267728,36.8714603,병원
하영욱정형외과의원,의원,영주시,하망동,"경상북도 영주시 광복로 74, 1~2층 (하망동)",054-634-9300,2016-02-29,1.0,1.0,0.0,0.0,128.6264822,36.8275706,병원
한마음치과의원,치과의원,영주시,영주동,"경상북도 영주시 구성로 346, (영주동)",054-632-2468,1986-04-25,1.0,0.0,0.0,0.0,128.6238623,36.8228527,병원
행복한세상의원,의원,영주시,영주동,"경상북도 영주시 중앙로 91, (영주동)",054-638-7588,2005-06-15,1.0,0.0,0.0,0.0,128.6249329,36.8235743,병원
허남근소아과의원,의원,영주시,영주동,"경상북도 영주시 구성로 340, (영주동)",054-634-6443,1997-04-25,1.0,1.0,0.0,0.0,128.6241926,36.8225346,병원
허찬욱이비인후과의원,의원,영주시,하망동,"경상북도 영주시 광복로 74, 5층 (하망동)",054-637-2211,1995-06-29,1.0,1.0,0.0,0.0,128.6264822,36.8275706,병원
현대치과의원,치과의원,영주시,영주동,"경상북도 영주시 구성로 338, (영주동)",054-633-0681,1995-05-29,1.0,0.0,0.0,0.0,128.624331,36.8224719,병원
현대한의원,한의원,영주시,영주동,"경상북도 영주시 번영로 174, (영주동)",054-633-1119,1999-07-23,1.0,0.0,0.0,0.0,128.6249051,36.8264223,병원
혜민서한의원,한의원,영주시,가흥동,"경상북도 영주시 대학로 258-1, 1층 (가흥동)",054-632-1075,2018-09-18,1.0,0.0,0.0,0.0,128.6049621,36.8185316,병원
황치과의원,치과의원,영주시,풍기읍,"경상북도 영주시 풍기읍 기주로 90-1, (풍기읍)",054-636-4333,1986-04-25,1.0,0.0,0.0,0.0,128.5259558,36.8701628,병원
21세기약국,약국,영주시,영주동,"경상북도 영주시 구성로 333, (영주동)",054-632-7677,2000-10-24,,,,,128.6243589,36.8219064,약국
365약국,약국,영주시,영주동,"경상북도 영주시 구성로 377, 1층 (영주동)",054-638-5535,2018-07-03,,,,,128.6209696,36.8247451,약국
경북약국,약국,영주시,영주동,"경상북도 영주시 구성로 354, (영주동)",054-632-4822,2003-03-04,,,,,128.6230695,36.8234998,약국
경희약국,약국,영주시,하망동,"경상북도 영주시 영주로 236, (하망동)",054-635-9594,2003-02-28,,,,,128.6255078,36.8255182,약국
