주소,상세주소,대분류코드,중분류코드,소분류코드,등록일시,대표이미지,썸네일이미지,경도,위도,수정일시,전화번호,관광지명,우편번호,관광유형1,관광유형2,관광유형3,관광유형명,읍면동,이미지여부
경상북도 영주시 무섬로234번길 11-10,,B02,B0201,B02011600,2022-12-30,http://tong.visitkorea.or.kr/cms/resource/55/3016955_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/3016955_image3_1.jpg,128.6214914114,36.7315335366,2025-08-12,054-638-1127,만죽재 고택,36173.0,AC,AC03,AC030200,숙박,문수면,Y
경상북도 영주시 봉현면 소백로 1806-28,,,,,2023-11-27,https://tong.visitkorea.or.kr/cms/resource/38/3049638_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/38/3049638_image3_1.JPG,128.53235166706833,36.85769029259657,2026-04-07,,말타는사람들,36044.0,LS,LS01,LS010700,레포츠,봉현면,Y
경상북도 영주시 이산면 웃무리로 86,먹골집,,,,2024-09-26,https://tong.visitkorea.or.kr/cms/resource/36/3374936_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/36/3374936_image3_1.jpg,128.64378237634384,36.82591836010058,2026-04-02,,먹골집,36170.0,FD,FD01,FD010100,음식점,이산면,Y
경상북도 영주시 중앙로 47 (영주동),,,,,2012-12-08,,,128.621409002506,36.8209064932445,2026-02-25,,메밀명가,36098.0,FD,FD01,FD010100,음식점,영주동,N
경상북도 영주시 용주로 492,,,,,2022-08-04,https://tong.visitkorea.or.kr/cms/resource/96/4004296_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/96/4004296_image3_1.jpg,128.532135828689,36.7824901281256,2026-04-09,,메이블룸,36143.0,FD,FD05,FD050100,음식점,봉현면,Y
경상북도 영주시 중앙로106번길 8,,,,,2012-12-07,,,128.626161721544,36.8244674286016,2026-02-25,,명동감자탕,36082.0,FD,FD01,FD010100,음식점,영주동,N
경상북도 영주시 풍기읍 삼가로 423,,A03,A0302,A03021700,2021-09-24,http://tong.visitkorea.or.kr/cms/resource/90/2747590_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2747590_image2_1.jpg,128.5076682616,36.9210874573,2025-01-02,,묘솔캠핑장,36018.0,AC,AC05,AC050100,레포츠,풍기읍,Y
경상북도 영주시 문수면 무섬로234번길 31-12,,,,,2006-07-28,https://tong.visitkorea.or.kr/cms/resource/02/3513802_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/02/3513802_image3_1.jpg,128.6233,36.73,2026-03-18,,무섬 외나무다리,36173.0,VE,VE01,VE010300,관광지,문수면,Y
경상북도 영주시 문수면 무섬로234번길 31-12,,,,,2009-12-11,https://tong.visitkorea.or.kr/cms/resource/08/3513808_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/08/3513808_image3_1.jpg,128.6216,36.7319,2026-03-13,,무섬마을,36173.0,HS,HS01,HS010600,관광지,문수면,Y
경상북도 영주시 풍기읍 죽령로1513번길 64,,A02,A0203,A02030100,2015-09-16,http://tong.visitkorea.or.kr/cms/resource/78/3553278_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/78/3553278_image3_1.JPG,128.4646284039,36.8956840054,2025-10-23,,무쇠달마을,36020.0,VE,VE04,VE040200,관광지,풍기읍,Y
,,C01,C0114,C01140001,2014-09-24,http://tong.visitkorea.or.kr/cms/resource/39/1718639_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1718639_image3_1.jpg,128.6222024708,36.7311280411,2023-08-08,,물돌이 무섬마을과 외나무다리를 밟아보다,,C01,C0114,C01140001,여행코스,,Y
경상북도 영주시 봉현면 소백로 1727,,,,,2015-06-17,https://tong.visitkorea.or.kr/cms/resource/18/2010418_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/18/2010418_image3_1.JPG,128.526814741866,36.8555729033087,2026-02-24,,미소머금고,36045.0,FD,FD01,FD010100,음식점,봉현면,Y
경상북도 영주시 문수면 무섬로234번길 11-17,,B02,B0201,B02011600,2019-05-01,http://tong.visitkorea.or.kr/cms/resource/12/2600212_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2600212_image2_1.jpg,128.6197803621,36.7346498149,2024-11-26,054-633-1011,박정우가옥,36173.0,AC,AC03,AC030200,숙박,문수면,Y
경상북도 영주시 이산면 영봉로329번길 143-5,,,,,2014-10-22,,,128.683804219834,36.8049880775079,2026-02-26,,방산서원(영주),36170.0,HS,HS01,HS010900,관광지,이산면,N
,,C01,C0116,C01160001,2013-12-14,http://tong.visitkorea.or.kr/cms/resource/23/2654223_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2654223_image3_1.jpg,128.5657716439,36.9129117127,2023-08-08,,백두대간 마구령과 고치령에서 즐기는 캠핑여행,,C01,C0116,C01160001,여행코스,,Y
경상북도 영주시 단산면 단산로115번길 37,,,,,2007-02-23,https://tong.visitkorea.or.kr/cms/resource/84/207884_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/84/207884_image3_1.jpg,128.594971039635,36.8919226069424,2026-02-13,,백산서원(영주),36011.0,HS,HS01,HS010900,관광지,단산면,Y
경상북도 영주시 부석면 부석사로 345,,A02,A0201,A02010800,2004-02-17,http://tong.visitkorea.or.kr/cms/resource/43/3572443_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/3572443_image3_1.JPG,128.6845725151,36.9948017922,2025-12-02,,부석사 [유네스코 세계유산],36001.0,HS,HS03,HS030100,관광지,부석면,Y
경상북도 영주시 부석면 부석사로 319,,A05,A0502,A05020100,2003-04-11,,,128.6819005152,36.9953544558,2025-07-24,054-633-3606,부석사종점식당,36001.0,FD,FD01,FD010100,음식점,부석면,N
경상북도 영주시 풍기읍 삼가로 661-29,(풍기읍),A02,A0201,A02010800,2004-02-17,http://tong.visitkorea.or.kr/cms/resource/10/3532610_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3532610_image3_1.jpg,128.4988518593,36.9390019028,2025-09-09,,비로사(영주),36018.0,HS,HS03,HS030100,관광지,풍기읍,Y
경상북도 영주시 풍기읍 삼가로 447-11,,,,,2021-07-26,https://tong.visitkorea.or.kr/cms/resource/70/2727570_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/70/2727570_image3_1.jpg,128.504689895443,36.9220811424247,2026-03-17,,비로오토파크,36018.0,AC,AC05,AC050100,레포츠,풍기읍,Y
경상북도 영주시 풍기읍 삼가로 140,,,,,2012-12-08,,,128.524291433415,36.900556329941,2026-02-24,,산수방식당,36018.0,FD,FD01,FD010100,음식점,풍기읍,N
경상북도 영주시 풍기읍 삼가로 476,,A03,A0302,A03021700,2021-08-18,http://tong.visitkorea.or.kr/cms/resource/62/2735962_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2735962_image2_1.jpg,128.502832516,36.9233676602,2025-04-16,,삼가야영장,36018.0,AC,AC05,AC050100,레포츠,풍기읍,Y
경상북도 영주시 안풍로 307-12,,A05,A0502,A05020100,2022-08-23,http://tong.visitkorea.or.kr/cms/resource/20/2841420_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2841420_image3_1.jpg,128.5409278581,36.871249354,2025-09-18,,삼뜨락한정식,36041.0,FD,FD01,FD010100,음식점,안정면,Y
경상북도 영주시 가흥동,,A02,A0201,A02010400,2023-08-17,http://tong.visitkorea.or.kr/cms/resource/60/2998360_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/60/2998360_image3_1.JPG,128.6162170634,36.8206121307,2025-07-29,,삼판서고택,36139.0,HS,HS01,HS010400,관광지,가흥동,Y
경상북도 영주시 부석면 감산길46번길 16,,A01,A0101,A01010500,2003-11-20,http://tong.visitkorea.or.kr/cms/resource/30/3572430_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/3572430_image3_1.jpg,128.6540074126,36.9400935984,2025-12-02,,상석리 왜가리(백로) 서식지,36006.0,,NA04,NA040500,관광지,부석면,Y
경상북도 영주시 부석면 영부로117번길 76-7,,,,,2024-11-08,https://tong.visitkorea.or.kr/cms/resource/61/3410661_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/61/3410661_image3_1.jpg,128.65383457344709,36.99993155837347,2026-03-31,,샘사이트,36002.0,AC,AC03,AC030300,숙박,부석면,Y
경상북도 영주시 풍기읍 인삼로16번길 43,,,,,2012-12-26,,,128.521425880731,36.8721069220867,2026-02-24,,서문가든,36024.0,FD,FD01,FD010100,음식점,풍기읍,N
경상북도 영주시 풍기읍 인삼로3번길 26,,A05,A0502,A05020100,2003-12-26,,,128.5257513874,36.872857217,2025-03-18,054-636-2457,서부냉면,36025.0,FD,FD01,FD010100,음식점,풍기읍,N
경상북도 영주시 영주동,470-1,A02,A0202,A02020700,2023-08-31,http://tong.visitkorea.or.kr/cms/resource/42/3089942_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/42/3089942_image3_1.JPG,128.6139921,36.8261586756,2025-08-07,,서천둔치(영주),36077.0,VE,VE03,VE030100,관광지,영주동,Y
,,C01,C0114,C01140001,2014-09-24,http://tong.visitkorea.or.kr/cms/resource/96/1718696_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1718696_image2_1.jpg,128.6875221329,36.9988291645,2023-08-10,,선비의 걸음으로 영주의 옛고개를 넘다,,C01,C0114,C01140001,여행코스,,Y
경상북도 영주시 순흥면 소백로 2796,,,,,2007-02-23,https://tong.visitkorea.or.kr/cms/resource/04/3500904_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/04/3500904_image3_1.JPG,128.5812110801169,36.928266018315234,2026-03-09,,선비촌,36013.0,HS,HS01,HS010600,관광지,순흥면,Y
경상북도 영주시 순흥면 소백로 2796,,B02,B0201,B02011600,2019-05-02,,,128.5811891709,36.9313626658,2024-11-26,054-638-6444,선비촌,36013.0,AC,AC03,AC030200,숙박,순흥면,N
경상북도 영주시 순흥면 소백로 2796,,,,,2012-12-05,,,128.583432171116,36.9284707646725,2026-02-24,,선비촌종가집,36013.0,FD,FD01,FD010100,음식점,순흥면,N
,,C01,C0113,C01130001,2016-01-29,http://tong.visitkorea.or.kr/cms/resource/93/1614893_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/1614893_image3_1.jpg,128.6876110241,36.9984792058,2023-08-10,,선조들의 유유자적한 삶을 엿보러 영주로!,,C01,C0113,C01130001,여행코스,,Y
경상북도 영주시 문수면 무섬로234번길 11-7,,B02,B0201,B02011600,2019-05-01,,,128.6188776654,36.7346248007,2024-11-26,054-633-1011,섬계고택,36173.0,AC,AC03,AC030200,숙박,문수면,N
경상북도 영주시 순흥면 죽계로 459-99,(순흥면),A02,A0201,A02010800,2007-12-07,http://tong.visitkorea.or.kr/cms/resource/76/3531176_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/3531176_image3_1.jpg,128.5434780832,36.9507375084,2025-09-09,,성혈사(영주),36012.0,HS,HS03,HS030100,관광지,순흥면,Y
경상북도 영주시 부석면 영부로117번길 76-7,,A02,A0203,A02030400,2021-07-09,http://tong.visitkorea.or.kr/cms/resource/64/2820464_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2820464_image2_1.jpg,128.6538612168,36.9999811702,2024-06-17,010-3789-5735,소백명품서클,36002.0,EX,EX07,EX070200,관광지,부석면,Y
경상북도 영주시 순흥면 죽계로315번길 330,,,,,2019-01-30,https://tong.visitkorea.or.kr/cms/resource/37/4010237_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/37/4010237_image3_1.jpg,128.526801022497,36.9438956033477,2026-03-12,,소백산 국망봉  돼지바위,36012.0,,NA03,NA030300,관광지,순흥면,Y
,,C01,C0115,C01150001,2014-09-24,http://tong.visitkorea.or.kr/cms/resource/25/637725_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/637725_image3_1.jpg,128.5550331253,36.9330286474,2023-08-08,,소백산 산행과 풍기 인삼장,,C01,C0115,C01150001,여행코스,,Y
경상북도 영주시 단산면 영단로 253,,,,,2024-08-12,https://tong.visitkorea.or.kr/cms/resource/40/3346640_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/40/3346640_image3_1.jpg,128.60839916500953,36.972052275793246,2026-04-29,,소백산 생태탐방원,36007.0,EX,EX05,EX050700,관광지,단산면,Y
경상북도 영주시 순흥면 소백로 2796,,,,,2017-12-22,https://tong.visitkorea.or.kr/cms/resource/88/3517888_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/88/3517888_image3_1.jpg,128.5812110801169,36.928266018315234,2026-03-12,,소백산 자락길,36013.0,LS,LS01,LS011900,레포츠,순흥면,Y
경상북도 영주시 봉현면 소백로 1794,,,,,2004-02-17,https://tong.visitkorea.or.kr/cms/resource/26/3502126_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/26/3502126_image3_1.jpg,128.52955223390995,36.85866631969222,2026-03-09,,소백산국립공원(경북),36044.0,,NA04,NA040100,관광지,봉현면,Y
경상북도 영주시 풍기읍 삼가로 407-7,,A03,A0302,A03021700,2021-10-26,http://tong.visitkorea.or.kr/cms/resource/80/2762780_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/80/2762780_image3_1.JPG,128.5088570807,36.9198292906,2025-11-18,,소백산꽃가람야영장,36018.0,AC,AC05,AC050100,레포츠,풍기읍,Y
경상북도 영주시 안정면 대평로229번길 33-22,,A02,A0203,A02030400,2021-05-15,http://tong.visitkorea.or.kr/cms/resource/74/2820474_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2820474_image2_1.jpg,128.5638949023,36.8832206364,2025-07-18,,소백산꽃차이야기,36048.0,EX,EX07,EX070200,관광지,안정면,Y
경상북도 영주시 단산면 단산로 817,,,,,2008-04-18,https://tong.visitkorea.or.kr/cms/resource/26/2534126_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/26/2534126_image3_1.jpg,128.616253463637,36.9475802028941,2026-02-25,,소백산단산 포도마을,36008.0,EX,EX03,EX030100,관광지,단산면,Y
경상북도 영주시 풍기읍 죽령로 1400,,,,,2012-08-28,,,128.479057234514,36.8882958337791,2026-02-25,054-604-1700,소백산풍기온천리조트,36020.0,AC,AC04,AC040100,숙박,풍기읍,N
경상북도 영주시 순흥면 소백로 2780,,A02,A0206,A02060100,2007-02-16,http://tong.visitkorea.or.kr/cms/resource/70/3512770_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/3512770_image3_1.JPG,128.5820781426,36.9258299838,2025-07-24,,소수박물관,36013.0,VE,VE07,VE070100,문화시설,순흥면,Y
경상북도 영주시 문수면 무섬로234번길 7-3,,B02,B0201,B02011600,2019-05-01,,,128.6187665577,36.7348414401,2024-11-26,054-633-1011,수춘제(김태길) 고택,36173.0,AC,AC03,AC030200,숙박,문수면,N
경상북도 영주시 순흥면 순흥로39번길 21,,A05,A0502,A05020100,2003-11-17,,,128.5750902414,36.9134340512,2025-03-13,054-634-4614,순흥전통묵집,36016.0,FD,FD01,FD010100,음식점,순흥면,N
경상북도 영주시 순흥면 청구길 15-36,,A02,A0201,A02010700,2007-02-23,http://tong.visitkorea.or.kr/cms/resource/68/3538868_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/3538868_image3_1.jpg,128.5768756928,36.9305099044,2025-09-17,,순흥향교,36013.0,HS,HS01,HS010900,관광지,순흥면,Y
경상북도 영주시 영주동,,A02,A0203,A02030400,2021-11-26,http://tong.visitkorea.or.kr/cms/resource/20/3572420_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/3572420_image3_1.jpg,128.6252243208,36.829947343,2025-12-02,,숫골,36098.0,EX,EX07,EX070200,관광지,영주동,Y
경상북도 영주시 회헌로 433-1,(아지동),A03,A0302,A03020200,2002-10-31,http://tong.visitkorea.or.kr/cms/resource/68/1981568_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1981568_image3_1.jpg,128.6013893623,36.863245856,2025-10-23,054-637-2128,아지청소년야영장,36054.0,VE,VE10,VE100200,레포츠,순흥면,Y
경상북도 영주시 회헌로358번길 25,(아지동),B02,B0201,B02010700,2020-12-10,,,128.6069278223,36.8610212154,2024-11-26,,아지펜션,36054.0,AC,AC03,AC030100,숙박,순흥면,N
경상북도 영주시 영주로231번길 13,,A05,A0502,A05020200,2022-08-23,http://tong.visitkorea.or.kr/cms/resource/57/2841457_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2841457_image3_1.jpg,128.6251772063,36.8264227456,2025-09-18,,아테네레스토랑,36074.0,FD,FD02,FD020300,음식점,영주동,Y
경상북도 영주시 순흥면 소백로 2796,,A02,A0208,A02081300,2025-06-19,http://tong.visitkorea.or.kr/cms/resource/02/3504002_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3504002_image3_1.jpg,128.5812364783,36.9283157941,2025-07-09,02-737-6444,안빈낙도 새로보기·음미하기·유람하기,36013.0,EV,EV03,EV030400,축제공연행사,순흥면,Y
경상북도 영주시 봉현면 신재로 831,,,,,2011-08-22,,,128.531691874243,36.861644487804,2026-02-24,,약선당영주삼계탕,36044.0,FD,FD01,FD010100,음식점,봉현면,N
경상북도 영주시 순흥면 선비세상로 1,선비세상,,,,2024-04-30,https://tong.visitkorea.or.kr/cms/resource/05/4055805_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/05/4055805_image3_1.JPG,128.58532614046393,36.930815961635616,2026-04-14,054-630-9700,어린이선비축제,36013.0,EV,EV01,EV010400,축제공연행사,순흥면,Y
경상북도 영주시 순흥면 소백로2481번길 33,,,,,2019-08-20,https://tong.visitkorea.or.kr/cms/resource/30/3517830_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/30/3517830_image3_1.jpg,128.5567448873681,36.91402033270191,2026-03-12,,여우생태관찰원,36015.0,,NA04,NA040500,관광지,순흥면,Y
경상북도 영주시 구성로360번길 2-1 (영주동),,,,,2019-08-20,https://tong.visitkorea.or.kr/cms/resource/51/3513851_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/51/3513851_image3_1.jpg,128.6206,36.8257,2026-03-13,,영주 365시장,36096.0,SH,SH06,SH060200,쇼핑,영주동,Y
경상북도 영주시 평은면 수변로 13-16,,,,,2007-02-23,https://tong.visitkorea.or.kr/cms/resource/49/2534049_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/49/2534049_image3_1.jpg,128.6812,36.7341,2026-02-11,,영주 괴헌고택,36174.0,HS,HS01,HS010400,관광지,평은면,Y
경상북도 영주시 순흥면 소백로2767번길 5,,A02,A0201,A02010700,2004-02-17,http://tong.visitkorea.or.kr/cms/resource/11/3538811_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/11/3538811_image3_1.png,128.5786478572,36.927057556,2025-09-17,,영주 금성대군 신단,36013.0,HS,HS01,HS011200,관광지,순흥면,Y
경상북도 영주시 순흥면 소백로 2740,,,,,2004-02-18,https://tong.visitkorea.or.kr/cms/resource/85/3499385_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/85/3499385_image3_1.JPG,128.580063140988,36.9253682960338,2026-03-11,,영주 소수서원,36013.0,HS,HS01,HS010900,관광지,순흥면,Y
경상북도 영주시 봉현면 소백로1623번길 268,,A02,A0203,A02030100,2014-08-07,http://tong.visitkorea.or.kr/cms/resource/23/3401023_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3401023_image3_1.jpg,128.498615839,36.8413575394,2025-06-26,,영주 솔향기마을,36045.0,EX,EX03,EX030100,관광지,봉현면,Y
경상북도 영주시 순흥면 소백로 2547-16,,A02,A0201,A02010700,2004-02-18,http://tong.visitkorea.or.kr/cms/resource/18/3538818_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/3538818_image3_1.JPG,128.5657716439,36.9129117127,2025-09-17,,영주 순흥 벽화 고분,36014.0,HS,HS01,HS010800,관광지,순흥면,Y
경상북도 영주시 순흥면 태장리,,A02,A0201,A02010700,2004-02-18,http://tong.visitkorea.or.kr/cms/resource/15/3401015_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3401015_image3_1.jpg,128.562149619,36.9172361483,2025-03-18,,영주 순흥 어숙묘,36015.0,HS,HS01,HS010800,관광지,순흥면,Y
경상북도 영주시 이산면 신암리,1439-30,A02,A0201,A02010700,2007-02-23,http://tong.visitkorea.or.kr/cms/resource/16/3582916_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/3582916_image3_1.jpg,128.685426895,36.8433497243,2025-12-12,,영주 신암리 마애여래삼존상,36170.0,HS,HS02,HS020300,관광지,이산면,Y
경상북도 영주시 부석면 영부로 23,,A02,A0204,A02040800,2016-12-22,http://tong.visitkorea.or.kr/cms/resource/73/3548173_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/3548173_image3_1.JPG,128.6641354744,36.9940320478,2025-12-29,,영주 콩세계과학관,36002.0,EX,EX06,EX061000,관광지,부석면,Y
경상북도 영주시 광복로 22 (영주동),,A02,A0203,A02030600,2023-08-17,http://tong.visitkorea.or.kr/cms/resource/19/2998319_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/19/2998319_image3_1.JPG,128.6208914429,36.82759753,2025-12-02,,영주근대역사문화거리,36077.0,VE,VE04,VE040100,관광지,영주동,Y
경상북도 영주시 평은면 용혈리,897-2,A02,A0206,A02060300,2021-10-26,http://tong.visitkorea.or.kr/cms/resource/14/3590614_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3590614_image3_1.jpg,128.6551246758,36.7264486413,2025-12-31,,영주댐물문화관,36174.0,VE,VE07,VE070300,문화시설,평은면,Y
경상북도 영주시 가흥로 255 (가흥동),,A02,A0206,A02060700,2007-11-06,http://tong.visitkorea.or.kr/cms/resource/78/3576478_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/3576478_image3_1.jpg,128.6135117745,36.8197538447,2025-12-12,,영주문화원,36134.0,VE,VE09,VE090100,문화시설,영주동,Y
경상북도 영주시 풍기읍 동양대로 39,,A05,A0502,A05020100,2012-12-05,,,128.5291510395,36.874393216,2025-03-18,054-638-2662,영주소백산능이버섯칼국수,36023.0,FD,FD01,FD010100,음식점,풍기읍,N
경상북도 영주시 의상로116번길 43,(상망동),A02,A0203,A02030400,2021-07-09,http://tong.visitkorea.or.kr/cms/resource/05/2820505_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2820505_image2_1.jpg,128.6402307544,36.8491370953,2024-05-23,010-3522-1001,영주소백팜,36063.0,EX,EX07,EX070200,관광지,부석면,Y
